BH-001	BH-002	BH-003	BH-004	BH-005	BH-006	BH-007	BH-008	CUC-001	CUC-002	CUC-003	CUC-004	CUC-005	CUC-006	CUC-007	CUC-008	FC-001	FC-002	FC-003	FC-004	FC-005	FC-006	FC-007	FC-008	FH-001	FH-002	FH-003	FH-004	FH-005	FH-006	FH-007	FH-008	FOC-001	FOC-002	FOC-003	HC-001	HC-002	HC-003	HC-004	HC-005	HC-006	HC-007	HC-008	HC-009	Hos-001	Hos-002	Hos-003	Hos-004	Hos-005	Hos-006	Hos-007	Hos-008	MLC-001	MLC-002	MLC-003	MLC-004	MLC-005	MLC-006	MLC-007	MLC-008	MLLH-001	MLLH-002	MLLH-003	MLLH-004	MLLH-005	MLLH-006	MLLH-007	MLLH-008	PLLC-001	PLLC-002	PLLC-003	PLLC-004	PLLC-005	PLLC-006	PLLC-007	PLLC-008	PWH-001	PWH-002	PWH-003	PWH-004	PWH-005	PWH-006	SCU-001	SCU-002	SCU-003	SCU-004	SCU-005	SCU-006	SCU-007	SCU-008	Kingdom	Phylum	Class	Order	Family	Genus
438	697	94	177	939	719	433	1	289	91	34	134	42	94	548	259	148	1	0	0	1	16	191	273	56	113	287	335	748	4	183	714	793	918	703	0	1	0	2	2	0	2	0	1	5	238	208	57	0	264	3	725	160	177	383	84	0	92	1	294	1066	10	77	255	709	162	136	121	100	55	666	225	186	237	63	376	0	58	1	5	2	79	415	431	1195	752	212	231	303	48	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-004
14	28	7	10	38	34	13	147	19	41	352	2115	3071	35	30	105	15	229	3313	246	322	1867	12	2	48	1854	6	34	3	753	3	2	80	38	9	0	1	1	0	279	1	2	3	3	126	101	20	1	372	12	12	8	90	3	85	26	298	14	305	20	102	318	1523	21	26	13	3	5	8	7	222	16	19	22	80	14	54	2	1	18	958	67	26	37	27	37	16	43	18	408	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus_Saccharimonas
232	131	275	55	245	406	62	48	177	177	179	115	41	174	233	524	217	4	22	1	4	77	602	172	72	1029	91	213	198	4	1065	371	135	161	107	3	1	0	2	36	1	0	18	4	2	241	179	210	3	87	380	210	270	155	281	491	2	195	2	507	247	75	112	757	322	215	280	114	160	57	1771	216	287	243	335	356	55	235	7	144	1098	640	135	153	372	430	120	297	205	92	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005
65	75	71	41	187	138	52	15	78	140	170	71	32	89	161	95	80	0	5	1	1	5	114	100	46	217	32	85	105	4	93	140	75	109	94	1967	5833	1392	73	0	16	1480	12	178	4	241	48	45	7	75	113	133	77	42	160	97	1	75	0	55	24	45	21	165	44	72	65	29	63	40	754	90	52	58	129	77	9	83	994	83	575	156	58	92	194	105	58	169	136	92	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005
0	0	0	0	0	3	0	12	0	4	2	2980	2068	0	2	12	1	1031	5311	424	1928	1890	0	3	3	92	0	1	0	152	0	0	3	0	7	0	0	0	0	25	0	2	0	2	24	5	1	0	1465	0	3	2	3	0	2	0	703	2	603	2	0	9	52	0	1	0	2	1	0	1	4	3	1	2	3	0	0	0	0	0	1	1	0	0	0	1	0	1	0	5	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA
19	27	4	13	38	36	16	196	34	18	481	3873	3307	21	102	223	12	438	2397	442	561	2066	9	4	32	304	3	15	11	1443	3	1	83	23	32	0	0	0	1	20	0	0	0	0	88	61	9	3	49	13	8	7	25	2	125	16	148	5	338	4	30	233	79	16	12	2	0	1	4	6	33	9	16	4	82	10	21	10	2	87	227	28	19	31	38	34	2	34	15	330	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus_Saccharimonas
78	106	1	12	109	139	31	2	53	46	83	24	1	142	169	81	177	1	1	2	0	6	271	101	1005	2703	22	46	62	0	206	365	13	76	58	2	0	0	1	887	0	0	1	1	15	122	33	36	2	18	181	294	191	77	173	437	0	203	0	338	592	201	7	2	122	209	119	23	105	89	3104	342	205	117	774	303	1211	516	4	31	344	32	71	57	114	148	27	47	106	132	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	NA
0	0	2	2	5	2	7	79	1	0	8	964	351	0	3	9	5	167	6262	314	504	2704	5	3	21	753	0	9	0	452	0	2	8	2	12	0	0	0	0	28	1	3	0	2	39	11	1	3	349	4	4	1	2	0	10	6	368	3	725	1	3	62	3550	2	5	1	3	1	0	4	26	5	5	1	6	6	0	0	0	2	4	0	4	2	7	6	0	7	2	28	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
236	194	357	132	379	393	91	3	129	116	33	158	38	63	132	21	299	2	13	5	7	61	171	359	44	62	232	316	240	5	336	610	235	360	137	0	1	1	0	627	0	0	0	0	7	397	116	142	3	122	228	447	151	253	219	440	0	143	2	108	107	12	34	987	234	266	222	178	207	36	402	92	338	244	28	231	115	224	2	198	1338	216	184	245	753	483	156	212	301	12	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
0	2	2	1	5	2	2	5	1	6	73	1538	1098	7	8	110	15	1443	1339	660	588	2679	27	2	11	930	1	87	5	10	9	13	2	1	8	2	1	1	0	51	2	1	1	0	13	14	9	26	1229	6	52	12	17	10	2	15	920	5	663	24	63	92	3155	0	3	12	19	13	6	4	114	7	19	9	11	22	1	0	4	0	4	0	0	1	3	0	0	2	1	4	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_NK4A214_group
0	2	0	0	2	1	0	4	0	2	0	1024	256	0	27	0	2	8	2562	14	330	496	0	1	7	15	1	57	0	30	1	0	1	0	0	0	0	0	0	64	3	2	0	0	0	1	0	0	2595	0	1	2	12	1	1	6	879	0	1387	6	24	99	7327	1	0	0	0	0	0	0	21	0	6	1	18	1	0	0	0	0	0	0	0	0	2	2	0	3	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014
38	18	547	36	156	311	10	0	51	49	1	24	13	33	274	0	109	0	11	0	0	2	178	0	620	0	44	1	75	4	0	0	13	22	14	0	0	0	0	3650	0	0	1	0	5	432	13	34	1	14	157	124	119	62	88	384	1	188	0	16	2	4	0	1386	1	56	28	67	69	83	700	43	94	89	395	1	201	26	1	211	4328	392	52	148	171	21	186	27	193	78	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
285	229	117	175	408	817	228	1	419	466	63	44	6	55	68	157	254	0	1	2	0	8	142	136	62	113	97	58	204	4	17	60	198	151	148	0	0	0	3	389	0	2	198	1	122	85	338	270	0	139	31	647	180	77	821	189	0	27	1	86	207	4	5	346	26	21	87	63	32	41	2312	34	20	67	45	171	128	62	34	9	2641	99	117	216	409	272	77	7	83	67	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
68	37	913	40	167	167	52	128	97	89	60	415	169	35	129	51	94	30	208	5	52	61	81	92	46	478	48	29	131	130	67	112	285	145	116	1	11	38	25	1465	39	10	102	9	152	114	194	83	32	34	158	56	62	40	291	149	34	101	110	75	44	115	90	2363	35	97	61	42	147	90	399	124	51	86	111	78	223	226	310	271	2056	317	59	103	192	120	58	53	84	75	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group
37	35	1467	10	20	116	4	2	10	11	6	0	57	25	100	0	235	1	16	0	1	0	0	15	15	98	13	16	141	1	28	52	2	7	0	0	1	0	0	1598	1	0	1	0	0	22	0	3	5	6	101	71	76	47	36	254	2	175	1	107	117	2	4	3955	190	85	65	26	83	52	2359	73	81	108	25	22	20	46	2	168	3369	76	17	76	67	88	29	3	11	1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
44	46	662	19	19	123	65	2	39	26	18	2	3	84	41	51	179	0	7	5	0	0	170	37	786	1037	11	45	57	0	148	268	12	60	38	1	1	0	0	602	1	1	1956	1	4	160	11	35	2	16	146	96	130	56	167	147	0	106	0	136	175	129	20	1777	42	109	68	15	31	8	1435	226	91	62	346	138	979	97	0	121	1079	773	13	38	93	139	19	18	22	44	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	NA
45	12	56	15	156	2	55	4	100	55	78	1134	2441	101	59	3	81	1	351	0	1	272	0	5	61	163	7	25	30	471	98	12	64	82	44	0	0	1	0	0	0	1	2	1	6	112	11	31	4	32	61	26	0	10	72	6	1	1	1	24	24	206	90	320	2	34	32	50	16	17	0	13	0	2	0	1	545	17	1	3119	4402	116	30	12	15	33	44	10	44	304	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
23	48	235	14	62	86	4	2	135	9	63	24	38	128	410	263	148	2	42	2	2	90	318	67	229	1357	62	71	49	6	185	50	8	20	43	0	0	1	0	292	421	2	16	0	6	14	228	265	4	126	344	20	148	118	20	260	8	291	1	318	266	21	80	1867	151	96	105	66	173	81	2848	149	197	182	375	103	4	17	2	69	1204	104	55	45	210	44	18	132	25	61	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
0	0	1	1	0	0	1	1	0	0	1	5	1	0	0	0	2	0	3	0	0	0	1	1	5	0	0	0	0	0	0	4	0	0	0	2330	0	12	2885	0	65	199	1089	6071	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	5	6	2	0	7	0	1	0	0	1	0	0	0	21	0	2977	4	0	0	3	0	0	0	0	0	0	1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	NA
