OUT_ID	BH.001	BH.002	BH.003	BH.004	BH.005	BH.006	BH.007	BH.008	CUC.001	CUC.002	CUC.003	CUC.004	CUC.005	CUC.006	CUC.007	CUC.008	FC.001	FC.002	FC.003	FC.004	FC.005	FC.006	FC.007	FC.008	FH.001	FH.002	FH.003	FH.004	FH.005	FH.006	FH.007	FH.008	FOC.001	FOC.002	FOC.003	HC.001	HC.002	HC.003	HC.004	HC.005	HC.006	HC.007	HC.008	HC.009	Hos.001	Hos.002	Hos.003	Hos.004	Hos.005	Hos.006	Hos.007	Hos.008	MLC.001	MLC.002	MLC.003	MLC.004	MLC.005	MLC.006	MLC.007	MLC.008	MLLH.001	MLLH.002	MLLH.003	MLLH.004	MLLH.005	MLLH.006	MLLH.007	MLLH.008	PLLC.001	PLLC.002	PLLC.003	PLLC.004	PLLC.005	PLLC.006	PLLC.007	PLLC.008	PWH.001	PWH.002	PWH.003	PWH.004	PWH.005	PWH.006	SCU.001	SCU.002	SCU.003	SCU.004	SCU.005	SCU.006	SCU.007	SCU.008	taxonomy
ASV_32	183	348	18	177	222	172	315	1	126	37	13	7	6	75	160	88	49	0	0	0	0	1	62	104	19	3	230	113	283	1	68	161	303	313	272	0	0	0	2	0	0	0	0	0	1	64	133	29	0	208	1	214	58	120	102	23	0	31	0	108	290	5	4	16	277	104	65	89	49	51	29	126	65	107	16	113	0	26	0	0	0	32	242	199	294	229	144	122	155	17	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-004
ASV_33	7	14	0	10	10	10	8	98	8	21	132	120	317	29	13	34	6	111	204	108	96	210	5	2	17	132	6	13	1	199	2	2	34	10	4	0	1	1	0	15	1	1	0	1	51	22	16	1	118	10	7	1	31	3	20	4	122	4	148	10	28	117	124	2	12	6	2	5	3	6	10	10	6	12	23	6	22	1	0	8	52	22	18	20	4	10	14	23	9	130	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus_Saccharimonas
ASV_34	115	62	57	55	66	96	38	28	84	82	72	6	3	127	71	184	82	3	1	0	0	9	188	61	20	71	69	80	66	0	401	98	59	56	49	1	0	0	1	3	0	0	5	2	1	89	115	95	0	72	136	60	99	96	46	124	1	67	0	192	69	25	12	56	120	123	159	82	83	50	76	121	115	114	116	114	20	82	0	64	42	262	82	80	74	126	75	172	115	34	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005
ASV_35	27	33	14	41	42	38	38	10	29	70	61	6	0	73	41	37	31	0	0	0	0	0	36	36	12	11	26	28	43	1	40	27	37	35	39	691	1463	429	59	0	8	280	0	75	1	74	35	21	2	61	47	32	29	33	42	19	1	28	0	23	5	17	2	14	12	32	32	20	33	37	20	49	15	22	36	21	1	25	55	32	26	60	37	48	38	31	37	85	67	28	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005
ASV_36	0	0	0	0	0	1	0	10	0	2	2	178	224	0	2	4	1	492	310	198	550	199	0	0	0	8	0	0	0	37	0	0	2	0	2	0	0	0	0	2	0	0	0	0	13	1	1	0	483	0	2	2	1	0	0	0	290	1	275	0	0	4	3	0	1	0	2	0	0	1	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Unassigned
ASV_37	12	12	0	13	9	7	12	124	14	8	185	250	356	17	26	74	2	222	143	207	185	267	3	0	9	23	1	5	3	355	0	1	29	7	15	0	0	0	1	0	0	0	0	0	38	22	4	2	15	11	2	2	4	1	24	3	58	2	163	1	10	88	3	1	5	1	0	0	4	5	1	7	4	2	24	4	11	5	0	36	8	9	15	16	7	10	2	20	6	121	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus_Saccharimonas
ASV_38	33	56	0	12	34	37	23	0	23	15	30	1	0	104	45	35	53	0	0	0	0	0	92	35	313	177	17	14	20	0	86	90	6	32	22	2	0	0	1	38	0	0	1	0	6	39	20	15	1	12	62	83	68	52	43	105	0	76	0	125	171	66	1	0	53	101	67	17	48	79	122	198	72	59	230	84	336	183	0	10	11	13	41	29	18	42	19	30	59	51	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Unassigned
ASV_39	0	0	1	2	1	0	6	44	0	0	2	58	48	0	2	5	2	87	384	143	158	299	2	1	7	57	0	2	0	112	0	0	2	1	5	0	0	0	0	2	0	0	0	1	22	2	1	1	121	3	1	0	1	0	2	3	156	1	334	0	0	11	284	0	0	0	0	0	0	4	2	4	1	0	1	1	0	0	0	1	0	0	3	1	0	1	0	4	0	11	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Unassigned
ASV_40	113	95	61	132	86	87	76	3	62	38	12	13	4	45	38	4	95	1	1	2	3	7	50	115	17	4	194	97	76	1	124	159	90	111	57	0	1	0	0	41	0	0	0	0	1	131	77	82	0	95	83	106	47	164	53	118	0	61	2	27	21	6	6	73	94	133	115	128	109	32	16	57	137	120	7	64	39	86	0	65	65	82	105	118	154	114	93	110	146	5	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
ASV_41	0	0	0	1	1	1	2	3	1	2	33	97	137	4	3	42	6	668	79	304	157	354	8	0	5	65	1	25	3	4	7	5	0	0	4	1	0	0	0	2	1	1	1	0	6	5	6	13	381	4	14	2	4	8	0	2	385	1	291	12	21	31	241	0	2	5	12	11	2	3	6	5	5	4	5	8	1	0	0	0	1	0	0	1	0	0	0	2	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_NK4A214_group
ASV_42	0	1	0	0	0	0	0	2	0	0	0	62	27	0	7	0	0	6	161	7	95	54	0	0	2	1	1	17	0	11	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	877	0	0	1	5	1	0	1	338	0	633	2	8	39	584	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-014
ASV_43	17	9	104	36	45	81	9	0	19	22	0	1	0	24	80	0	33	0	1	0	0	1	48	0	185	0	34	0	33	0	0	0	4	7	6	0	0	0	0	155	0	0	1	0	3	136	6	13	0	8	49	39	40	36	18	90	1	71	0	6	0	1	0	81	0	35	18	53	35	76	30	25	35	36	115	0	62	11	0	81	211	152	29	71	31	7	114	13	111	23	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Unassigned
ASV_44	132	109	28	175	107	180	153	0	181	199	18	3	1	39	22	55	95	0	0	1	0	2	35	46	22	7	77	21	74	0	3	10	68	52	60	0	0	0	1	21	0	1	46	0	54	29	228	136	0	114	11	181	68	47	191	57	0	12	0	31	48	2	0	19	10	13	44	39	17	40	87	23	8	32	10	70	45	24	1	2	125	21	76	115	99	69	54	6	43	11	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unassigned
ASV_45	33	19	169	40	40	48	38	67	42	36	21	24	18	29	36	17	39	19	8	2	11	7	24	39	17	35	38	8	61	26	22	24	117	38	49	0	5	17	23	61	19	2	34	4	64	26	125	39	10	25	64	11	19	24	65	27	19	33	48	22	9	45	4	156	10	45	36	28	74	84	13	68	20	44	34	26	66	83	23	110	77	137	39	50	37	31	37	28	48	24	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group
ASV_46	18	17	285	10	3	27	3	1	7	2	2	0	9	22	25	0	83	0	0	0	0	0	0	1	11	7	9	4	46	0	18	13	2	4	0	0	0	0	0	84	0	0	0	0	0	5	0	3	3	6	31	22	26	30	11	66	0	61	0	31	37	0	2	245	74	41	41	19	51	48	94	43	37	54	7	7	8	18	0	58	128	36	11	40	17	29	14	2	5	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Unassigned
ASV_47	15	27	141	19	7	29	38	2	16	7	7	0	0	61	10	10	67	0	0	2	0	0	47	13	268	80	9	18	27	0	56	68	5	18	23	1	0	0	0	30	1	0	573	0	2	48	10	11	2	12	50	21	41	32	32	43	0	38	0	42	43	51	3	110	16	48	33	14	12	8	52	124	35	44	113	49	285	40	0	48	53	301	6	24	15	37	10	11	11	14	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Unassigned
ASV_48	21	4	12	15	42	1	37	2	45	22	25	59	269	74	16	1	36	0	25	0	0	32	0	2	19	15	5	7	10	110	27	3	25	24	17	0	0	0	0	0	0	0	1	1	2	36	7	16	2	26	10	5	0	8	16	2	0	0	1	9	5	79	7	25	1	18	19	38	5	16	0	10	0	1	0	1	149	7	0	1266	199	40	21	8	5	14	22	4	21	116	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
ASV_49	13	24	48	14	17	19	1	0	59	2	19	0	4	82	109	85	53	2	3	0	0	13	90	24	70	105	50	22	14	4	63	17	6	4	16	0	0	0	0	16	220	0	4	0	2	6	136	146	1	97	124	4	61	83	5	63	2	116	0	114	73	11	3	120	55	49	51	47	89	70	119	77	69	87	129	35	1	6	0	27	43	35	30	17	34	16	10	75	11	20	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unassigned
ASV_50	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	765	0	4	2255	0	34	39	309	2771	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	7	0	1	0	0	0	0	0	0	8	0	213	2	0	0	1	0	0	0	0	0	0	1	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Unassigned
